,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
T614,Ryan Griffin,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Mark Barron,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Patrick Peterson,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Brandon Bolden,FA,RB,-,-,169.99,-,-,-,-,-,,,,
T614,Casey Hayward,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Tashaun Gipson,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Julio Jones,FA,WR,-,-,169.95,-,-,-,-,-,,0.00,,
T614,Kenjon Barner,FA,RB,-,-,-,-,-,-,-,464.00,,,,
T614,Ryan Allen,FA,P,471.00,-,-,-,-,-,-,-,,,,
T614,Johnny Hekker,TEN,P,420.00,-,176.96,-,-,-,-,-,,0.95,,
T614,Nick Williams,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Cole Beasley,FA,WR,"1,201.20",-,-,-,-,-,-,675.60,,,,
T614,Justin Bethel,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Lawrence Guy,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Johnson Bademosi,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Michael Thomas,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Cody Davis,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Marvin Jones,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Mychal Kendricks,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Rodney McLeod,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Khalil Mack,LAC,LB,712.00,-,172.23,-,-,-,-,-,2.33,0.01,,
T614,Taysom Hill,NO,TE,"1,248.73",-,169.80,-,270.97,278.50,324.20,321.70,1.28,0.01,PUP-P,Knee - ACL
T614,Levine Toilolo,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Achilles
T614,Josh Gordon,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jason Pierre-Paul,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Dion Lewis,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Derek Carr,NO,QB,-,-,169.96,-,239.22,-,-,-,,0.02,Reserve-Ret,Shoulder
T614,Ryan Grant,FA,WR,-,-,-,-,-,-,-,510.10,,,,
T614,Jordan Poyer,FA,S,-,-,169.95,-,-,-,-,-,,,,
T614,Kasim Edebali,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,Rex Burkhead,FA,RB,-,-,-,-,-,444.20,-,687.80,,,,
T614,Derrick Johnson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Shelby Harris,CLE,DT,-,-,170.53,-,-,-,-,-,,,,
T614,Kyle Juszczyk,SF,FB,"1,668.60",-,170.05,-,241.16,-,-,-,,0.00,,
T614,Marquise Goodwin,FA,WR,-,-,169.99,-,-,-,-,-,,,,
T614,Logan Thomas,FA,TE,-,-,169.99,-,-,677.00,-,-,,,,
T614,Mitch Mathews,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Micah Hyde,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,AJ McCarron,FA,QB,-,-,169.99,-,-,382.00,-,-,,,,
T614,Lamar Miller,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Tyler Eifert,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Shaquelle Evans,FA,WR,-,-,-,-,-,-,-,453.50,,,,
T614,Tim Flanders,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Kerry Hyder,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Dustin Hopkins,CLE,K,"1,364.00",-,169.74,-,-,-,-,-,,0.01,,
T614,Chris Thompson,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Brent Urban,BAL,DE,-,-,170.00,-,-,-,-,-,,,,
T614,A.J. Klein,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Pat O'Donnell,FA,P,-,-,169.90,-,-,-,-,-,,,,
T614,Shamar Stephen,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,Duron Harmon,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Jerome Cunningham,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Brandon McManus,GB,K,424.87,-,169.17,-,-,554.10,679.10,597.90,,0.06,,
T614,Tavon Austin,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Andy Dalton,CAR,QB,"1,692.60",-,169.95,-,244.87,-,634.70,423.10,,,Ques,Elbow
T614,Jerry Hughes,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Colin Jones,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Tim Tebow,FA,TE,-,-,-,-,-,675.60,679.90,-,,,,
T614,Al Woods,FA,DT,-,-,170.00,-,-,-,-,-,,,Ques,Achilles
T614,Virgil Green,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Ankle
T614,Tyson Alualu,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Dwayne Harris,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Triceps
T614,Darren Fells,FA,TE,-,-,-,-,-,-,-,580.50,,,,
T614,Calais Campbell,ARI,DT,477.00,-,172.36,-,-,-,-,-,,,,
T614,Marcedes Lewis,FA,TE,-,-,169.98,-,-,-,-,-,,,,
T614,Thomas Morstead,SF,P,496.00,-,169.97,-,-,-,-,-,,0.05,,
T614,Albert McClellan,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Joe Webb,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Graham Gano,NYG,K,"1,358.00",-,169.64,-,-,606.90,575.10,-,,0.01,,
T614,Nick Folk,NYJ,K,-,-,169.76,-,-,441.50,471.70,669.80,,0.01,,
T614,Jahleel Billingsley,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Ike Brown,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Mason Crosby,FA,K,-,-,169.89,-,-,409.80,559.30,571.90,,0.00,,
T614,Joe Flacco,CLE,QB,244.38,-,169.85,172.22,252.09,188.80,-,244.50,2.67,0.03,,
T614,Matt Prater,FA,K,-,-,169.96,-,-,446.00,389.00,691.50,,,Ques,Knee - Meniscus
T614,Chris Williams,FA,OG,-,-,170.00,-,-,-,-,-,,,,
T614,Matthew Slater,FA,WR,-,-,169.99,-,-,471.00,-,-,,,,
T614,Julian Fleming,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Nick Grant,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Michael Hiers,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Qualan Jones,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Tevin Lawson,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,John Matocha,FA,QB,-,-,-,-,-,-,608.00,-,,,,
T614,Trey Potts,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Spencer Sanders,FA,QB,-,-,-,-,-,653.20,442.40,575.10,,,,
T614,Key'Shawn Smith,KC,WR,-,-,-,-,-,-,-,-,,,,
T614,Tyler Van Dyke,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Hajj-Malik Williams,FA,QB,-,-,-,-,-,-,639.10,-,,,,
T614,Mike Nugent,FA,K,-,-,-,-,-,414.30,495.00,683.40,,,,
T614,Ryan Succop,FA,K,-,-,-,-,-,-,-,-,,,,
T614,Jon Cooper,FA,C,332.00,-,-,-,-,-,-,-,,,,
T614,Demario Davis,NO,LB,208.00,-,174.04,-,-,-,-,-,3.63,0.24,,
T614,Andre Roberts,FA,WR,-,-,-,-,-,-,390.00,-,,,,
T614,Kai Forbath,FA,K,-,-,-,-,-,-,-,-,,,,
T614,Adrian Clayborn,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,Luke Stocker,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Brandon Graham,FA,LB,-,-,170.00,-,-,-,-,-,,,Reserve-Ret,Undisclosed
T614,Case Keenum,CHI,QB,-,-,169.97,-,241.61,-,-,-,,0.00,Ques,Leg
T614,Ryan Tannehill,FA,QB,-,-,169.97,-,-,-,651.10,-,,,,
T614,Nick Bellore,WAS,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Taiwan Jones,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T614,Cameron Heyward,PIT,DT,269.00,-,168.64,-,-,-,-,-,2.26,0.31,,
T614,Eric Wallace,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Dontrelle Inman,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Tyrod Taylor,NYJ,QB,-,-,169.97,-,247.13,-,-,383.50,4.45,0.00,Ques,Knee
T614,Kareem Jackson,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Harrison Smith,MIN,S,357.00,-,174.01,-,-,-,-,-,,0.42,,
T614,Golden Tate,FA,WR,-,-,-,-,-,-,657.50,-,,,,
T614,Bryan Anger,DAL,P,448.00,-,178.73,-,-,-,-,-,,0.32,,
T614,Marcus Gilchrist,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Cameron Jordan,NO,DE,763.00,-,170.97,-,-,-,-,-,0.96,,,
T614,Linval Joseph,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Bilal Powell,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Nick Foles,FA,QB,-,-,-,-,-,-,594.30,-,,,,
T614,Terrell McClain,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,Kirk Cousins,ATL,QB,456.09,-,169.76,-,257.85,222.00,-,238.20,1.69,0.01,,
T614,Chris Jones,FA,P,-,-,169.90,-,-,-,-,-,,,Ques,Abdomen
T614,Nathan Stupar,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Prince Amukamara,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Melvin Ingram,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Patrick DiMarco,FA,FB,-,-,-,-,-,605.30,-,-,,,,
T614,Justin Houston,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Brandon Marshall,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Von Miller,WAS,DE,-,-,169.85,-,-,-,-,-,,0.03,,
T614,Tress Way,WAS,P,489.00,-,170.32,-,-,-,-,-,,,,
T614,Justin Tucker,FA,K,999.00,-,169.17,-,-,463.90,-,679.90,,0.05,Reserve-Sus,Suspension
T614,Blake Bortles,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Quandre Diggs,TEN,S,-,-,169.94,-,-,-,-,-,,,,
T614,Ameer Abdullah,SF,RB,-,-,169.98,-,241.38,-,671.40,-,,,IR,Ribs
T614,Jahwan Edwards,FA,RB,-,-,-,-,-,-,-,662.50,,,,
T614,Willie Snead,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Max Wittek,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Eric Rowe,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Teddy Bridgewater,TB,QB,-,-,169.96,-,-,-,423.20,559.50,,,,
T614,Jason Verrett,FA,CB,-,-,170.00,-,-,-,-,-,,,Ques,Shoulder
T614,Tyler Kroft,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T614,Bobby McCain,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Ryan Mueller,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Jerick McKinnon,FA,RB,-,-,169.99,-,-,-,-,-,,0.00,,
T614,Scott Simonson,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Mike Meyer,FA,K,-,-,-,-,-,-,-,-,,,,
T614,Zach Zenner,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Troy Hill,FA,CB,-,-,170.00,-,-,-,-,-,,,Ques,Foot
T614,Odell Beckham,FA,WR,-,-,169.87,-,-,-,-,-,,0.02,,
T614,Jarvis Landry,FA,WR,-,-,-,-,-,397.00,-,539.00,,,,
T614,Justin Coleman,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Keith Smith,FA,FB,-,-,169.98,-,-,-,-,-,,,Ques,Ankle
T614,Corey Acosta,FA,K,-,-,-,-,-,-,-,-,,,,
T614,Brelan Chancellor,FA,WR,-,-,-,-,-,-,-,565.50,,,,
T614,Jamize Olawale,FA,FB,-,-,-,-,-,-,-,-,,,,
T614,Taylor Sloat,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Paul Richardson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,DaQuan Jones,BUF,DT,-,-,170.01,-,-,-,-,-,,,,
T614,Bennett Jackson,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Dean Marlowe,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Daniel Brown,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Hip
T614,Joel Stave,FA,QB,-,-,-,-,-,-,-,513.20,,,,
T614,Devonta Freeman,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Angelo Blackson,FA,DE,-,-,170.00,-,-,-,-,-,,,Out,Undisclosed
T614,C.J. Uzomah,FA,TE,-,-,170.00,-,-,-,-,465.50,,,Ques,Abdomen
T614,Shaq Hill,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jeff Heuerman,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Kevin Byard,CHI,S,242.00,-,158.93,-,-,-,-,-,3.06,0.85,,
T614,Nigel King,FA,WR,-,-,-,-,-,465.50,457.30,-,,,,
T614,DeAndre Houston-Carson,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Jared Dangerfield,FA,WR,-,-,-,-,-,-,480.00,542.50,,,,
T614,Phillip Dorsett,LV,WR,-,-,169.97,-,-,-,-,673.30,,0.00,,
T614,Ross Scheuerman,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,T.Y. McGill,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,David Porter,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Gus Johnson,FA,RB,-,-,-,-,-,373.00,-,-,,,,
T614,Martavis Bryant,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Adam Humphries,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Grady Jarrett,CHI,DT,440.00,-,171.84,-,-,-,-,-,,,,
T614,Sammy Watkins,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,DeShawn Williams,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,DeVante Parker,FA,WR,-,-,169.99,-,-,-,-,-,,0.00,,
T614,Demetrius Harris,FA,TE,-,-,-,-,-,-,-,564.50,,,,
T614,Shaquil Barrett,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Chris Briggs,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Rakeem Nunez-Roches,NYG,DT,-,-,170.01,-,-,-,-,-,,,,
T614,Michael Pierce,BAL,DT,-,-,170.00,-,-,-,-,-,,,Reserve-Ret,Undisclosed
T614,Xavier Rush,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Damontre Moore,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,Jake Kumerow,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Back
T614,Greg Zuerlein,FA,K,-,-,169.98,-,-,-,-,671.80,,,Ques,Knee
T614,William Gholston,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Cody Fajardo,FA,QB,-,-,-,-,-,594.50,487.00,-,,,,
T614,Justin Hardy,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,J.J. Nelson,FA,WR,-,-,-,-,-,354.00,-,-,,,,
T614,Jimmie Ward,HOU,S,-,-,170.87,-,-,-,-,-,,,PUP-P,Foot
T614,Carlos Hyde,FA,RB,-,-,-,-,-,-,443.80,-,,,,
T614,Brian Vogler,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Michael Dyer,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Cody Parkey,FA,K,-,-,-,-,-,407.10,519.20,-,,,,
T614,C.J. Mosley,FA,LB,-,-,170.00,-,-,-,-,-,,,Ques,Neck
T614,Clive Walford,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Kyle Fuller,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Carl Davis,WAS,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Johnathan Hankins,SEA,DT,-,-,170.03,-,-,-,-,-,,,NFI-A,Back
T614,Bradley Roby,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Eric Tomlinson,FA,TE,-,-,169.99,-,-,-,-,500.10,,,,
T614,Jimmy Garoppolo,LAR,QB,"1,197.55",-,169.91,-,254.63,324.70,575.60,371.50,,0.00,,
T614,Malcolm Johnson,FA,FB,-,-,-,-,-,-,-,-,,,,
T614,Jordan Matthews,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T614,Jake McGee,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Bruce Irvin,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Ezell Ruffin,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Michael Burton,DEN,FB,-,-,169.97,-,-,-,-,-,,0.00,Ques,Hamstring
T614,Xavier Grimble,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Robert Woods,PIT,WR,"1,567.25",-,169.95,-,243.65,-,-,-,1.36,0.00,,
T614,Jordan Hicks,CLE,LB,338.00,-,170.06,-,-,-,-,-,2.83,,Reserve-Ret,Undisclosed
T614,Adrian Phillips,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Tyler Bray,FA,QB,-,-,-,-,-,-,610.50,-,,,,
T614,Michael Palardy,FA,P,-,-,170.74,-,-,-,-,-,,,,
T614,Blake Bell,FA,TE,-,-,170.00,-,-,-,569.00,-,,,,
T614,Tony Jefferson,LAC,S,-,-,170.00,-,-,-,-,-,,,,
T614,Trey Millard,FA,FB,-,-,-,-,-,577.10,-,-,,,,
T614,Kenny Stills,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Dres Anderson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Quincy McDuffie,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Terrell Sinkfield,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Jason Myers,SEA,K,264.71,-,169.76,-,-,634.80,349.90,574.50,,0.05,,
T614,Dom Williams,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Alex Gray,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Tyrann Mathieu,NO,S,-,-,170.00,-,-,-,-,-,,,Reserve-Ret,Undisclosed
T614,Spencer Ware,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Brad Wing,FA,P,506.00,-,170.13,-,-,-,-,-,,,,
T614,Kenny Bell,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Lavonte David,TB,LB,268.00,-,171.37,-,-,-,-,-,4.64,0.44,,
T614,Allen Hurns,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Wrist
T614,Kyle Van Noy,BAL,LB,433.00,-,173.43,-,-,-,-,-,2.14,0.03,,
T614,Tre Boston,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Trevor Siemian,TEN,QB,-,-,169.99,-,-,652.70,-,-,,,,
T614,Cairo Santos,CHI,K,579.77,-,166.43,-,-,646.90,320.00,-,,0.42,,
T614,Roosevelt Nix,FA,FB,-,-,-,-,-,-,-,-,,,,
T614,James O'Shaughnessy,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,David Johnson,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,MyCole Pruitt,FA,TE,-,-,169.99,-,-,-,420.00,-,,,,
T614,Cameron Brate,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Connor Neighbors,FA,FB,-,-,-,-,-,-,460.40,-,,,,
T614,Ricky Seale,FA,RB,-,-,-,-,-,-,663.40,-,,,,
T614,Anthony Barr,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Eric Kendricks,FA,LB,-,-,170.06,-,-,-,-,-,,0.01,,
T614,Cassius Marsh,FA,LB,-,-,-,-,-,-,-,-,,,Ques,Knee
T614,Bud Sasser,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jake Rudock,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Matthias Farley,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Ben Koyack,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Allen Robinson,FA,WR,-,-,169.99,-,-,597.50,-,-,,0.00,,
T614,Larry Clark,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Keith Baxter,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Ty Long,FA,P,-,-,-,-,-,423.70,600.00,587.30,,,,
T614,Roy Robertson-Harris,NYG,DT,-,-,170.02,-,-,-,-,-,,,,
T614,DeAndre Carter,CLE,WR,-,-,169.98,-,241.22,-,-,644.30,,,,
T614,Jeret Smith,FA,WR,-,-,-,-,-,-,-,531.20,,,,
T614,Miles Killebrew,PIT,S,-,-,169.97,-,-,-,-,-,,,,
T614,Andrew Bonnet,FA,FB,-,-,-,-,-,-,-,-,,,,
T614,Carson Wentz,FA,QB,-,-,169.97,-,241.19,-,-,-,,,,
T614,Trevor Davis,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Tyrell Williams,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Concussion
T614,Carl Nassib,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Kolby Listenbee,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,DeMarcus Lawrence,SEA,DE,478.00,-,171.53,-,-,-,-,-,1.37,,,
T614,Tyler Matakevich,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jordan Westerkamp,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Travis Wilson,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Jesse James,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Jordan Williams-Lambert,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Alex Erickson,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Bart Houston,FA,QB,-,-,-,-,-,477.80,-,-,,,,
T614,Denico Autry,HOU,DT,736.00,-,170.00,-,-,-,-,-,,,PUP-P,Knee
T614,Breshad Perriman,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Marquez Clark,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Mike Pennel,KC,DT,-,-,169.85,-,-,-,-,-,,,,
T614,Zac Brooks,FA,RB,-,-,-,-,-,-,-,619.00,,,,
T614,Bradley Pinion,ATL,P,434.00,-,172.67,-,-,-,-,-,,,,
T614,Gerome Hopper,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Shaq Lawson,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,DJ Reader,DET,DT,-,-,169.96,-,-,-,-,-,,,,
T614,Carlos Watkins,TEN,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Michael Thomas,FA,WR,-,-,169.97,-,241.19,686.80,-,-,,,,
T614,Sam Cotton,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Eric Murray,JAX,S,728.00,-,171.25,-,-,-,-,-,,,,
T614,Reggie Begelton,FA,WR,-,-,-,-,-,611.50,-,475.00,,,,
T614,Keith Marshall,FA,RB,-,-,-,-,-,-,-,610.30,,,,
T614,Nathan Peterman,FA,QB,-,-,169.98,-,-,-,644.90,-,,,,
T614,Trey Griffey,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Kwon Alexander,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Danielle Hunter,HOU,LB,317.00,-,174.61,-,-,-,-,-,,0.25,,
T614,Deion Jones,TB,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jalen Mills,HOU,S,-,-,170.00,-,-,-,-,-,,,,
T614,T.J. Yeldon,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,LeVern Jacobs,FA,WR,-,-,-,-,-,522.80,-,-,,,,
T614,Taylor McNamara,FA,TE,-,-,-,-,-,567.70,-,-,,,,
T614,Beniquez Brown,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Fred Brown,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Arik Armstead,JAX,DT,-,-,170.01,-,-,-,-,-,,,Ques,Back
T614,Pharaoh Brown,MIA,TE,-,-,169.98,-,-,-,-,-,,0.00,,
T614,DeForest Buckner,IND,DT,279.00,-,159.65,-,-,-,-,-,,0.61,,
T614,Sean Culkin,FA,TE,-,-,-,-,-,-,623.10,-,,,,
T614,Markus Golden,FA,LB,-,-,169.98,-,-,-,-,-,,,,
T614,Alton Howard,FA,WR,-,-,-,-,-,687.00,529.40,-,,,,
T614,Cordarrelle Patterson,FA,RB,-,-,169.97,-,-,-,-,-,,,,
T614,Marcelis Branch,FA,DB,-,-,-,-,-,-,-,-,,,,
T614,Adam Butler,LV,DT,472.00,-,177.44,-,-,-,-,-,,0.06,,
T614,Kenny Lawler,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Blake Martinez,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Michael Rector,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Dalton Crossan,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Zach Pascal,NYG,WR,-,-,169.99,-,-,-,-,-,,0.00,,
T614,Reggie Diggs,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Marshaun Coprich,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Robert Tonyan,KC,TE,-,-,169.98,-,241.40,-,-,-,,0.00,,
T614,Ben Braunecker,FA,TE,-,-,-,-,-,-,-,478.70,,,,
T614,Jonathan Jones,WAS,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Jamison Crowder,FA,WR,-,-,170.00,-,-,393.00,-,609.30,,,,
T614,David Reeves,FA,TE,-,-,-,-,-,540.60,-,-,,,,
T614,Ty Montgomery,FA,RB,-,-,169.99,-,-,-,-,-,,,,
T614,Javorius Allen,FA,RB,-,-,-,-,-,-,-,596.20,,,,
T614,Marqise Lee,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Quenton Bundrage,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jamal Robinson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Tyler Higbee,LAR,TE,229.52,-,169.79,188.67,251.64,255.50,326.20,292.80,1.61,0.03,,
T614,Brandon Allen,TEN,QB,-,-,169.97,-,-,-,-,686.90,,0.00,,
T614,Malcolm Brown,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Deshon Foxx,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Benardrick McKinney,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Darius Slay,PIT,CB,742.00,-,170.48,-,-,-,-,-,,,Ques,Ankle
T614,Preston Smith,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Marken Michel,FA,WR,-,-,-,-,-,-,-,526.90,,,,
T614,Damiere Byrd,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Jadeveon Clowney,FA,LB,706.00,-,170.00,-,-,-,-,-,,,,
T614,Paul Quessenberry,FA,FB,-,-,-,-,-,438.80,-,444.50,,,,
T614,Shane Ray,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,Sam Eguavoen,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jakeem Grant,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,DeAndre Washington,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Lamarcus Brutus,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Jake Coker,FA,QB,-,-,-,-,-,388.00,-,-,,,,
